忘却バッテリー,Mrs. GREEN APPLE
怪獣の花唄,Vaundy
かわいいだけじゃだめですか？,CUTIE STREET
残酷な天使のテーゼ,高橋洋子
サウダージ,ポルノグラフィティ
マリーゴールド,あいみょん
さよならエレジー,菅田将暉
ドライフラワー,優里
ケセラセラ,Mrs. GREEN APPLE
晩餐歌,tuki.
小さな恋のうた,MONGOL800
水平線,back number
点描の唄(feat.井上苑子),Mrs. GREEN APPLE
ダーリン,Mrs. GREEN APPLE
チェリー,スピッツ
高嶺の花子さん,back number
366日,HY
奏(かなで),スキマスイッチ
チャンカパーナ,NEWS
D・N・A2～何処かで失くしたあいつのアイツ～,シャ乱Q
幾億光年,Omoinotake
マッシュル‑MASHLE‑神覚者候補選抜試験編,Bling‑Bang‑Bang‑Born Creepy Nuts
青と夏,Mrs. GREEN APPLE
ひまわりの約束,秦 基博
Soranji,Mrs. GREEN APPLE
丸の内サディスティック,椎名林檎
Bunny Girl,AKASAKI
Story,AI
最後の雨,中西保志
大阪LOVER,DREAMS COME TRUE
はいよろこんで,こっちのけんと
愛のかたまり,KinKi Kids
糸,中島みゆき
ハナミズキ,一青 窈
3月9日,レミオロメン
世界が終るまでは…,WANDS
キセキ,GReeeeN
Lemon,米津玄師
コイスルオトメ,いきものがかり
僕のこと,Mrs. GREEN APPLE
恋人ごっこ,マカロニえんぴつ
アイノカタチ feat.HIDE(GReeeeN),MISIA
APT.,ROSE & Bruno Mars
シンデレラボーイ,Saucy Dog
気まぐれロマンティック,いきものがかり
歌うたいのバラッド,斉藤和義
島人ぬ宝,BEGIN
愛をこめて花束を,Superfly
わたしの一番かわいいところ,FRUITS ZIPPER
シャルル,バルーン
花束のかわりにメロディーを,清水翔太
チェックのワンピース,back number
カブトムシ,aiko
〖推しの子〗,YOASOBI
メロディー,玉置浩二
I LOVE YOU,尾崎豊
チ。 —地球の運動について—,サカナクション
I wonder,Da‑iCE
Pretender,Official髭男dism
インフェルノ (炎炎ノ消防隊),Mrs. GREEN APPLE
粉雪,レミオロメン
虹,菅田将暉
CITRUS,Da‑iCE
津軽海峡・冬景色,石川さゆり
ハレンチ,ちゃんみな
白い恋人達,桑田佳祐
タッチ,岩崎良美
栄光の架橋,ゆず
First Love,宇多田ヒカル
ダンスホール,Mrs. GREEN APPLE
雪の華,中島美嘉
DAN DAN 心魅かれてく,FIELD OF VIEW
ダンダダン,オトノケ Creepy Nuts
クリスマスソング,back number
猫,DISH//
ただ君に晴れ,ヨルシカ
ビリミリオン,優里
HANABI,Mr.Children
世界中の誰よりきっと,中山美穂&WANDS
裸の心,あいみょん
花になって,緑黄色社会
未来予想図Ⅱ,DREAMS COME TRUE
天城越え,石川さゆり
愛唄,GReeeeN
ベテルギウス,優里
時の流れに身をまかせ,テレサ･テン
花束,back number
魔法の絨毯,川崎鷹也
桜,コブクロ
イケナイ太陽,ORANGE RANGE
世界に一つだけの花,SMAP
アゲハ蝶,ポルノグラフィティ
眠り姫,SEKAI NO OWARI
踊り子,Vaundy
天体観測,BUMP OF CHICKEN
愛のうた,倖田來未
Love so sweet,嵐
115万キロのフィルム,Official髭男dism
私は最強 (ウタ from ONE PIECE FILM RED),Ado
TSUNAMI,サザンオールスターズ
